Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,latitude,longitude,new_color_1,new_color_2,density
1,1.0,3,2,3,2,1,2,2,2,34.1562348,-118.3285236,1,0,303.8
1,1.0,3,3,2,3,2,2,3,1,48.1823168,-117.0493505,1,0,271.9
1,1.0,2,3,2,2,1,2,3,2,47.12126505,-118.3718322,1,0,593.8
1,1.0,2,2,0,1,2,1,3,0,46.208043,-119.763865,9,0,110.0
1,1.0,3,2,0,2,0,2,3,0,47.594453,-120.6609573,5,0,67.3
1,1.0,2,2,1,2,1,1,2,2,46.31165225,-124.0424726,9,0,526.4
1,1.0,3,3,2,2,2,2,3,2,45.72235395,-121.4710129,5,0,101.4
1,1.0,3,2,3,3,1,2,1,1,45.81998995,-120.8110523,9,0,492.4
1,1.0,0,0,0,0,0,2,2,0,47.3141315,-119.544111,9,0,526.4
1,1.0,2,3,1,1,1,2,3,1,46.83008665,-119.1552646,1,0,518.1
1,1.0,4,2,0,2,3,2,2,0,47.2310464,-119.8680943,9,0,119.1
1,1.0,3,3,3,2,1,2,1,3,48.7069528,-119.4385898,1,0,482.6
1,1.0,3,2,3,3,2,2,1,2,48.65287595,-118.7311551,9,0,482.6
1,1.0,4,2,3,3,3,2,3,2,38.24733965,-85.79998082,1,0,198.0
1,1.0,4,2,0,2,0,2,2,0,48.10630365,-119.7825694,1,0,100.1
1,1.0,3,2,3,1,3,2,1,1,47.94636525,-124.3932652,3,0,526.4
1,1.0,4,2,0,2,2,2,2,0,48.5406611,-117.8921465,9,0,175.7
1,1.0,3,2,1,1,1,2,3,2,41.480823,-75.596063,5,0,172.3
1,1.0,3,2,2,2,1,2,3,2,48.4959111,-122.2759664,5,0,181.2
1,1.0,2,2,1,1,1,1,1,2,46.71270795,-117.1689679,5,0,349.4
1,1.0,5,2,0,2,3,2,3,0,46.40229835,-117.0546736,9,0,69.8
1,1.0,4,2,0,2,3,2,3,2,46.98766565,-120.5380644,8,0,192.7
1,1.0,3,2,3,2,1,2,2,2,47.84468905,-120.0096545,5,0,349.4
1,1.0,3,0,0,2,2,2,3,0,44.2482993,-88.4040378,5,0,88.1
0,1.0,3,2,0,2,0,2,3,0,46.2351094,-119.095377,2,0,93.5
1,1.0,3,2,0,2,2,1,3,0,47.51271215,-121.8858163,5,0,74.2
1,1.0,3,2,1,3,3,1,1,2,48.52665095,-123.0295557,9,0,526.4
1,1.0,0,0,0,0,0,2,2,0,47.66311535,-122.282532,1,0,113.7
1,1.0,4,2,0,2,0,2,3,2,47.2586957,-122.4528146,1,0,218.5
1,1.0,3,2,2,2,2,1,2,2,38.63246505,-90.25794835,1,0,118.5
1,1.0,3,2,0,2,2,1,3,0,39.65446155,-79.95906632,9,0,103.0
1,1.0,3,2,1,2,3,2,2,2,37.7728299,-80.47031803,9,0,130.7
1,1.0,3,2,0,2,2,2,3,2,39.32912275,-80.23988128,1,0,82.7
1,1.0,3,2,0,2,2,1,2,2,38.43118585,-82.40048173,1,0,88.0
1,1.0,2,2,1,3,2,2,2,2,39.47478425,-77.98070269,2,0,181.2
0,1.0,2,2,2,1,2,2,3,1,38.86897995,-82.12360997,1,0,248.9
1,1.0,3,2,1,2,3,2,2,1,39.94608535,-80.75291878,5,0,250.7
1,1.0,2,2,1,3,1,1,2,1,38.3300954,-81.60272322,1,0,406.8
1,1.0,4,2,2,2,3,2,3,2,40.39313205,-80.52793077,5,0,104.9
1,1.0,3,2,3,2,1,2,3,2,38.35433885,-81.72716827,9,0,190.3
1,1.0,2,3,1,2,1,2,2,1,39.99261015,-83.02004748,7,0,515.7
1,1.0,3,2,0,2,2,1,2,0,32.50537845,-84.95972819,1,0,101.5
1,1.0,2,3,2,1,2,2,1,3,39.0474316,-80.49209534,1,0,660.0
1,1.0,0,0,0,0,0,1,2,0,40.0600746,-80.7216806,2,0,392.6
1,1.0,3,2,0,2,2,2,3,0,37.3630614,-81.11354957,3,0,251.3
1,1.0,2,2,0,2,2,2,3,1,39.48186935,-80.1650723,1,0,179.7
